Brigadier General
BG
Brigadier Mayor
BM
Brigadier
BR
Comodoro Mayor*
CO
Comodoro
CM
Vicecomodoro
VC
Mayor
MY
Capitán
CT
Primer Teniente
PT
Teniente
TT
Alférez
AF
Suboficial Mayor
SM
Suboficial Principal
SP
Suboficial Ayudante
SA
Suboficial Auxiliar
SX
Cabo Principal
CP
Cabo Primero
CI
Cabo
CB
Voluntario de Primera
VP
Voluntario de Segunda
VS
