AD EAM
AEROEST MIL AER
AMQ
AMRIV
ALQ
ALP
AUDITORIA GRAL DE LAS FF. AA.
BAM MDP - CURSO DE DEF AA
B° AERON CBA
B° AERON MZA
B° AERON PAL
BAM CHAMICAL
BAM MDP
BAM MOR
BAM SIS
BASE MARAMBIO
BIBLIOTECA  AERONAUTICA
CAS MIL
CTRO ASIST EL PALOMAR
CTRO ASIST RETIRO
CIL BAIRES
CTRO DE INVEST APLICADAS - DIGID
CTRO SENSORES REMOTOS
CEVYCA - CURSO
CEASO - RIO IV
CEV - CBA
CTRO LOG ANTARTICO - GAL
CTRO ZONAL ODONT CBA
CIRC FAA ANTULMALAL
CIRC FAA SEDE CTRAL
CIRC FAA CBA
COCOANTAR
CAA
CDO DE OPS CONJUNTO
CIA SEG MDP
CIA SEG DOZ
CIA SEG RTA
CIA SEG RIO IV
CELPA CHAMICAL
CUARTEL GENERAL
CURSO DE EXPL Y REC PARANA
CURSO VYCA DIRVYCA
CURSO ESPECIALIZ  ESTRAT OP Y PLAN MIL CON
D G I - INSP OBRAS PAR
DTO CONTENCIOSO CBA
DTO CONTRATACIONES CRV (DIR CONT)
DTO CONTRATACIONES CBA (DIR CONTR)
DET AEREO POS
DGICIA - E ICIA AER TACTICA LITORAL
DGICIA - E ICIA AER TACTICA OESTE
DGICIA- E ICIA AER TACTICA SUR
DGLADE GDE
DIPBFA CRV
DIBPFA CBA
DIPBFA PAR
DIBPFA RTA
DIBPFA RIO IV
DIBPFA SALTA
DIBPFA DIL
DIBPFA COLONIA MIRAFLORES
DIR DE CTROS DE INVEST Y DES DGID
DIR DE PREV DE ACC, SEGUR E HIG EN EL TRAB Y AMB
DIR GRAL AERONAVEGABILIDAD MILITAR CONJUNTA
DIRECCION ADM DE PERSONAL
DIR BIENESTAR DE PERSONAL
DIR ABASTECIM DE MATERIAL
DIRECCION DE AERONAVEGABILIDAD MILITAR SOAM
DIRECCION DE BIENES INMUEBLES
DIRECCION DE BIENESTAR DEL PERS. DE LA FAA
DIRECCION DE CIBERDEFENSA
DIRECCION DE COMUNICACIONES (SJEMGFA)
DIRECCION DE CONTABILIDAD
DIRECCION DE CONTRATACIONES (SUBDIR INT)
DIRECCION DE CONTROL Y COORDINACION
DIR DE ELAB DOCTRINARIA Y ORGANICA
DIRECCION DE ESTUDIOS HISTORICOS
DIR DE EVAL Y HOMOLOG CBA DGID
DIRECCION DE FINANZAS
DIRECCION DE INFORMATICA
DIRECCION DE INFRAESTRUCTURA
DIRECCION DE ICIA OPERATIVA
DIRECCION DE MANT DEL MATERIAL
DIR NAV AEREA Y AD MILITARES
DIRECCION DE PLANEAMIENTO ESTRATEGICO
DIRECCION DE PRESUPUESTO
DIR DE PROG Y PROY CON INVERSIÓN
DIRECCION DE PROYECTOS DE LA DGID
DIRECCION DE SANIDAD CONJUNTA
DIRECCION DE SASTRERIA Y PROVISIONES
DIRECCION DE SEGURIDAD Y DEFENSA TERRESTRE
DIRECCION DE TRANSITO AEREO MILITAR
DIR VYCA
DIR GRAL ADM Y FINANZAS
DIRECCION GENERAL DE ASUNTOS JURIDICOS
DIR GRAL DE COM, INFO Y CIBERD
DIRECCION GENERAL DE EDUCACION
DIRECCION GENERAL DE INTELIGENCIA
DIRECCION GENERAL DE INTENDENCIA
DIR GRAL DE INVESTIGACION Y DESARROLLO
DIR GRAL LADE
DIRECCION GENERAL DE MATERIAL
DIR GRAL DE ORGANIZACION Y DOCTRINA
DIR GRAL DE PERSONAL Y BIENESTAR
DIRECCION GENERAL DE SALUD
DIR GRAL DE SEGURIDAD AEROESP MIL
DIR GRAL DE SEG Y DEF TERRESTRE
DIR GRAL DE PLANES PROGR Y PRESUP
DIR MALVINAS E ISLAS DEL ATLANTICO SUR
DIR PLAN Y EVAL LOGISTICA
DIV GETAM CBA
DIV GETAM CRV
DIV GTAM DOZ
DIV GTAM SIS
E COORD OPER CBA DICOM
ESCUELA DE AVIACION MILITAR
ESFAC
ESFAE
ESCUELA SUPERIOR DE GUERRA AEREA
ESTACION METEOROLOGICA CORDOBA
ESTACION RADAR INGENIERO JUAREZ (GRUPO III)
ESTACION RADAR LAS LOMITAS (GRUPO III)
ESTACION RADAR MERCEDES (GRUPO III)
ESTACION RADAR SAN PEDRO (GRUPO III)
ESTACION RADAR TARTAGAL (GRUPO III)
ESTACION RADAR VILLAGUAY (DIRVYCA)
E M CDO DE ADIESTRAM Y ALISTAMIENTO
EMCO - CAECOPAZ
EMCOFFAA
GABINETE PSICOFISICO CORDOBA
GPO 1 DE COMUNIC ESCUELA
GRUPO II COMUNICACIONES- CRV - (SIT)
GRUPO II DE COMUNICACIONES (SJEMGFA)
GRUPO III DE COMUNICACIONES (SJEMGFA)
GRUPO III DE VYCA
HOSPITAL AERONAUTICO CENTRAL
HOSPITAL AERONAUTICO CORDOBA
I BRIGADA AEREA
I BRIGADA AEREA - CURSO NAVEGADOR MILITAR
II BRIGADA AEREA
III BRIGADA AEREA
INSPECTORIA GENERAL DE LA FUERZA AEREA
INSTITUTO DE INTELIGENCIA DE LAS FF.AA.
INST DE INV CIENTIF Y TEC PARA LA DEF
INSTITUTO GERIATRICO EZEIZA
INSTITUTO GERIATRICO EZEIZA
INSTITUTO GERIATRICO EZEIZA
INSTITUTO GERIATRICO EZEIZA
INSTITUTO NACIONAL DE AVIACION CIVIL
INSTITUTO NACIONAL DE MEDICINA AERONAUTI
INSTITUTO UNIVERSITARIO AERONAUTICO
IUA - CARRERA INGENIERIA AERONAUTICA
IV BRIGADA AEREA
IX BRIGADA AEREA
IX BRIGADA AEREA (CEPAT)
JUNTA MEDICA SUPERIOR
JUNTA MEDICA ZONA AEREA 1 Y 3
JUNTA MEDICA ZONA AEREA 4 - CORDOBA -
LICEO AERONAUTICO MILITAR
MAESTRIA EN EST MIL Y COND SUP- NIVEL II
RESID GER DE LA GUARN AEREA CBA
SECRETARIA GENERAL DE LA FUERZA AEREA
V BRIGADA AEREA
VI BRIGADA AEREA
VII BR AE - E DE APY DE CDO (CURSO)
VII BRIGADA AEREA
VII BRIGADA AEREA (CEPAH)
X BRIGADA AEREA
